GivenName,Surname,Name,SamAccountName,Password,domain,mail,company,title,department,manager,telephoneNumber
Andy,Renton,Andy Renton,renton,LAB01schulung,trivadislabs.com,andy.renton@trivadislabs.com,Trivadis LAB,Clerk,Operations,"cn=Felix Leitner,ou=People,dc=trivadislabs,dc=com",
Ben,King,Ben King,king,LAB01schulung,trivadislabs.com,ben.king@trivadislabs.com,Trivadis LAB,President,Senior Management,,
Douglas,Adams,Douglas Adams,adams,LAB01schulung,trivadislabs.com,douglas.adams@trivadislabs.com,Trivadis LAB,Clerk,Research,"cn=Ernst Blofeld,ou=People,dc=trivadislabs,dc=com",
Ernst,Blofeld,Ernst Blofeld,blofeld,LAB01schulung,trivadislabs.com,ernst.blofeld@trivadislabs.com,Trivadis LAB,Manager,Research,"cn=Ben King,ou=People,dc=trivadislabs,dc=com",
Eugen,Tanner,Eugen Tanner,tanner,LAB01schulung,trivadislabs.com,eugen.tanner@trivadislabs.com,Trivadis LAB,Administrator,Information Technology,"cn=Ian Fleming,ou=People,dc=trivadislabs,dc=com",
Eve,Moneypenny,Eve Moneypenny,moneypenny,LAB01schulung,trivadislabs.com,eve.moneypenny@trivadislabs.com,Trivadis LAB,Manager,Sales,"cn=Ben King,ou=People,dc=trivadislabs,dc=com",
Felix,Leitner,Felix Leitner,leitner,LAB01schulung,trivadislabs.com,felix.leitner@trivadislabs.com,Trivadis LAB,Manager,Operations,"cn=Ben King,ou=People,dc=trivadislabs,dc=com",
Henry,Ford,Henry Ford,ford,LAB01schulung,trivadislabs.com,henry.ford@trivadislabs.com,Trivadis LAB,Analyst,Research,"cn=Ernst Blofeld,ou=People,dc=trivadislabs,dc=com",
Honey,Rider,Honey Rider,rider,LAB01schulung,trivadislabs.com,honey.rider@trivadislabs.com,Trivadis LAB,Manager,Human Resources,"cn=Ben King,ou=People,dc=trivadislabs,dc=com",
Ian,Fleming,Ian Fleming,fleming,LAB01schulung,trivadislabs.com,ian.fleming@trivadislabs.com,Trivadis LAB,Manager,Information Technology,"cn=Ben King,ou=People,dc=trivadislabs,dc=com",
James,Scott,James Scott,scott,LAB01schulung,trivadislabs.com,james.scott@trivadislabs.com,Trivadis LAB,Engineer,Research,"cn=Ernst Blofeld,ou=People,dc=trivadislabs,dc=com",
James,Bond,James Bond,bond,LAB01schulung,trivadislabs.com,james.bond@trivadislabs.com,Trivadis LAB,Agent,Operations,"cn=Felix Leitner,ou=People,dc=trivadislabs,dc=com",
Jason ,Walters,Jason  Walters,walters,LAB01schulung,trivadislabs.com,jason .walters@trivadislabs.com,Trivadis LAB,Agent,Operations,"cn=Felix Leitner,ou=People,dc=trivadislabs,dc=com",
Jim,Clark,Jim Clark,clark,LAB01schulung,trivadislabs.com,jim.clark@trivadislabs.com,Trivadis LAB,Manager,Accounting,"cn=Ben King,ou=People,dc=trivadislabs,dc=com",
John,Miller,John Miller,miller,LAB01schulung,trivadislabs.com,john.miller@trivadislabs.com,Trivadis LAB,Clerk,Accounting,"cn=Jim Clark,ou=People,dc=trivadislabs,dc=com",
John,Gartner,John Gartner,gartner,LAB01schulung,trivadislabs.com,john.gartner@trivadislabs.com,Trivadis LAB,Administrator,Information Technology,"cn=Ian Fleming,ou=People,dc=trivadislabs,dc=com",
Monica,Blake,Monica Blake,blake,LAB01schulung,trivadislabs.com,monica.blake@trivadislabs.com,Trivadis LAB,Salesman,Sales,"cn=Eve Moneypenny,ou=People,dc=trivadislabs,dc=com",
Paul,Smith,Paul Smith,smith,LAB01schulung,trivadislabs.com,paul.smith@trivadislabs.com,Trivadis LAB,Engineer,Research,"cn=Ernst Blofeld,ou=People,dc=trivadislabs,dc=com",
Paul,Ward,Paul Ward,ward,LAB01schulung,trivadislabs.com,paul.ward@trivadislabs.com,Trivadis LAB,Salesman,Sales,"cn=Eve Moneypenny,ou=People,dc=trivadislabs,dc=com",
Tina,Turner,Tina Turner,turner,LAB01schulung,trivadislabs.com,tina.turner@trivadislabs.com,Trivadis LAB,Salesman,Sales,"cn=Eve Moneypenny,ou=People,dc=trivadislabs,dc=com",
Vesper,Lynd,Vesper Lynd,lynd,LAB01schulung,trivadislabs.com,vesper.lynd@trivadislabs.com,Trivadis LAB,Clerk,Human Resources,"cn=Honey Rider,ou=People,dc=trivadislabs,dc=com",
