GivenName,Surname,Name,SamAccountName,Title,Department,telephoneNumber
Andy,Renton,Andy Renton,renton,Clerk,Operations,0041 52 216 38 51
Ben,King,Ben King,king,President,Senior Management,0041 52 216 38 10
Douglas,Adams,Douglas Adams,adams,Clerk,Research,0041 52 216 38 34
Ernst,Blofeld,Ernst Blofeld,blofeld,Manager,Research,0041 52 216 38 30
Eugen,Tanner,Eugen Tanner,tanner,Administrator,Information Technology,0041 52 216 38 62
Eve,Moneypenny,Eve Moneypenny,moneypenny,Manager,Sales,0041 52 216 38 40
Felix,Leitner,Felix Leitner,leitner,Manager,Operations,0041 52 216 38 50
Ford,Prefect,Ford Prefect,prefect,Analyst,Research,0041 52 216 38 31
Honey,Rider,Honey Rider,rider,Manager,Human Resources,0041 52 216 38 70
Ian,Fleming,Ian Fleming,fleming,Manager,Information Technology,0041 52 216 38 60
James,Scott,James Scott,scott,Engineer,Research,0041 52 216 38 32
James,Bond,James Bond,bond,Agent,Operations,0041 52 216 38 52
Jason,Walters,Jason Walters,walters,Agent,Operations,0041 52 216 38 53
Jim,Clark,Jim Clark,clark,Manager,Accounting,0041 52 216 38 20
John,Miller,John Miller,miller,Clerk,Accounting,0041 52 216 38 21
John,Gartner,John Gartner,gartner,Administrator,Information Technology,0041 52 216 38 61
Monica,Blake,Monica Blake,blake,Salesman,Sales,0041 52 216 38 41
Paul,Smith,Paul Smith,smith,Engineer,Research,0041 52 216 38 33
Paul,Ward,Paul Ward,ward,Salesman,Sales,0041 52 216 38 42
Arthur,Dent,Arthur Dent,dent,Salesman,Sales,0041 52 216 38 43
Vesper,Lynd,Vesper Lynd,lynd,Clerk,Human Resources,0041 52 216 38 71
